date,new_cases,new_deaths
2/25/2020,2,
2/26/2020,0,
2/27/2020,0,
2/28/2020,2,
2/29/2020,0,
3/1/2020,0,
3/2/2020,1,
3/3/2020,0,
3/4/2020,0,
3/5/2020,1,
3/6/2020,0,
3/7/2020,0,
3/8/2020,0,
3/9/2020,10,
3/10/2020,3,
3/11/2020,1,
3/12/2020,8,
3/13/2020,3,
3/14/2020,22,
3/15/2020,83,
3/16/2020,100,
3/17/2020,63,
3/18/2020,155,2
3/19/2020,47,1
3/20/2020,229,0
3/21/2020,46,2
3/22/2020,99,1
3/23/2020,97,1
3/24/2020,91,1
3/25/2020,138,1
3/26/2020,172,2
3/27/2020,122,1
3/28/2020,102,2
3/29/2020,120,7
3/30/2020,221,5
3/31/2020,180,1
4/1/2020,303,7
4/2/2020,265,6
4/3/2020,132,1
4/4/2020,339,6
4/5/2020,609,6
4/6/2020,269,4
4/7/2020,228,4
4/8/2020,226,4
4/9/2020,206,1
4/10/2020,316,20
4/11/2020,219,5
4/12/2020,266,2
4/13/2020,341,3
4/14/2020,546,15
4/15/2020,536,17
4/16/2020,106,7
4/17/2020,613,8
4/18/2020,710,25
4/19/2020,70,8
4/20/2020,1147,25
4/21/2020,511,11
4/22/2020,1079,25
4/23/2020,785,16
4/24/2020,783,16
4/25/2020,605,12
4/26/2020,587,11
4/27/2020,697,20
4/28/2020,913,31
4/29/2020,1292,42
4/30/2020,1297,32
5/1/2020,989,23
5/2/2020,981,17
5/3/2020,857,19
5/4/2020,1108,38
5/5/2020,2024,50
5/6/2020,571,21
5/7/2020,1791,14
5/8/2020,2301,37
5/9/2020,1598,23
5/10/2020,1747,47
5/11/2020,2255,31
5/12/2020,962,24
5/13/2020,490,9
5/14/2020,3011,64
5/15/2020,0,0
5/16/2020,1352,39
5/17/2020,1974,30
5/18/2020,1841,36
5/19/2020,1932,46
5/20/2020,2193,32
5/21/2020,2603,50
5/22/2020,1743,34
5/23/2020,2164,32
5/24/2020,1748,34
5/25/2020,1356,30
5/26/2020,1446,28
5/27/2020,2076,35
5/28/2020,2801,57
5/29/2020,2429,78
5/30/2020,3039,88
5/31/2020,2964,60
6/1/2020,3938,78
6/2/2020,4065,67
6/3/2020,4801,82
6/4/2020,3985,68
6/5/2020,4734,97
6/6/2020,4960,67
6/7/2020,4728,65
6/8/2020,4646,105
6/9/2020,5385,83
6/10/2020,5834,101
6/11/2020,6397,107
6/12/2020,0,0
6/13/2020,6472,88
6/14/2020,12073,178
6/15/2020,4443,110
6/16/2020,5839,136
6/17/2020,5358,118
6/18/2020,4944,136
6/19/2020,6604,153
6/20/2020,4951,119
6/21/2020,4471,89
6/22/2020,3946,105
6/23/2020,3892,60
6/24/2020,4044,148
6/25/2020,2775,59
6/26/2020,3138,73
6/27/2020,4072,83
6/28/2020,3557,49
6/29/2020,2825,137
6/30/2020,4133,91
7/1/2020,4339,78
7/2/2020,4087,78
7/3/2020,0,0
7/4/2020,3387,68
7/5/2020,6535,143
7/6/2020,2691,77
7/7/2020,2980,83
7/8/2020,3359,61
7/9/2020,2751,75
7/10/2020,2752,65
7/11/2020,2521,74
7/12/2020,2753,69
7/13/2020,1979,54
7/14/2020,2165,66
7/15/2020,2145,40
7/16/2020,0,0
7/17/2020,4003,96
7/18/2020,1579,46
7/19/2020,1587,31
7/20/2020,1013,40
7/21/2020,1332,38
7/22/2020,1763,32
7/23/2020,1209,54
7/24/2020,1487,24
7/25/2020,1226,35
7/26/2020,0,0
7/27/2020,1176,20
7/28/2020,936,23
7/29/2020,1063,27
7/30/2020,1114,32
7/31/2020,903,27
8/1/2020,0,0
8/2/2020,1394,25
8/3/2020,762,23
8/4/2020,0,0
8/5/2020,675,15
8/6/2020,727,21
8/7/2020,782,17
8/8/2020,842,16
8/9/2020,634,14
8/10/2020,539,15
8/11/2020,531,15
8/12/2020,730,17
8/13/2020,753,10
8/14/2020,626,14
8/15/2020,747,9
8/16/2020,1168,13
8/17/2020,0,0
8/18/2020,617,15
8/19/2020,613,11
8/20/2020,513,8
8/21/2020,630,10
8/22/2020,586,12
8/23/2020,1087,13
8/24/2020,0,0
8/25/2020,450,11
8/26/2020,482,12
8/27/2020,445,7
8/28/2020,415,9
8/29/2020,319,1
8/30/2020,264,4
8/31/2020,213,6
9/1/2020,300,4
9/2/2020,865,30
9/3/2020,498,7
9/4/2020,513,5
9/5/2020,0,0
9/6/2020,878,5
9/7/2020,330,5
9/8/2020,426,9
9/9/2020,371,6
9/10/2020,341,5
9/11/2020,584,3
9/12/2020,526,6
9/13/2020,539,4
9/14/2020,404,6
9/15/2020,665,4
9/16/2020,545,6
9/17/2020,752,9
9/18/2020,645,7
9/19/2020,640,1
9/20/2020,633,4
9/21/2020,582,4
9/22/2020,532,8
9/23/2020,799,5
9/24/2020,798,7
9/25/2020,566,7
9/26/2020,694,6
9/27/2020,566,9
9/28/2020,675,8
9/29/2020,747,5
9/30/2020,543,5
10/1/2020,625,15
10/2/2020,553,8
10/3/2020,632,6
10/4/2020,0,0
10/5/2020,1111,10
10/6/2020,624,12
10/7/2020,583,9
10/8/2020,661,8
10/9/2020,671,6
10/10/2020,666,12
10/11/2020,385,10
10/12/2020,531,8
10/13/2020,615,13
10/14/2020,755,13
10/15/2020,659,7
10/16/2020,575,17
10/17/2020,567,16
10/18/2020,433,5
10/19/2020,582,14
10/20/2020,710,19
10/21/2020,736,10
10/22/2020,736,13
10/23/2020,847,12
10/24/2020,832,9
10/25/2020,707,3
10/26/2020,773,6
10/27/2020,825,14
10/28/2020,908,16
10/29/2020,1078,20
10/30/2020,807,11
10/31/2020,977,17
11/1/2020,1123,12
11/2/2020,1167,14
11/3/2020,1313,18
11/4/2020,1302,26
11/5/2020,1376,30
11/6/2020,1502,20
11/7/2020,1436,25
11/8/2020,1650,9
11/9/2020,1637,23
11/10/2020,1708,21
11/11/2020,1808,34
11/12/2020,2304,37
11/13/2020,2165,17
11/14/2020,2443,32
11/15/2020,2128,19
11/16/2020,2050,33
11/17/2020,2298,37
11/18/2020,2547,18
11/19/2020,2738,313
11/20/2020,2843,42
11/21/2020,2665,59
11/22/2020,2756,34
11/23/2020,2954,48
11/24/2020,3009,59
11/25/2020,3306,40
11/26/2020,3113,54
11/27/2020,3045,45
11/28/2020,2829,43
11/29/2020,2839,40
11/30/2020,2458,66
12/1/2020,2829,75
12/2/2020,3499,39
12/3/2020,3262,55
12/4/2020,3119,43
12/5/2020,3308,58
12/6/2020,3795,37
12/7/2020,2885,89
12/8/2020,2963,60
12/9/2020,3138,56
12/10/2020,3047,50
12/11/2020,2729,71
12/12/2020,3369,72
12/13/2020,2362,36
12/14/2020,2459,73
12/15/2020,2731,105
12/16/2020,2545,70
12/17/2020,2972,84
12/18/2020,3179,86
12/19/2020,2615,80
12/20/2020,1680,62
12/21/2020,1704,82
12/22/2020,2142,83
12/23/2020,2256,111
12/24/2020,2152,85
12/25/2020,2260,63
12/26/2020,1853,58
12/27/2020,1974,55
12/28/2020,1776,63
12/29/2020,2155,55
12/30/2020,2475,58
12/31/2020,2463,71
1/1/2021,2184,82
1/2/2021,2272,53
1/3/2021,1895,39
1/4/2021,1947,59
1/5/2021,2118,52
1/6/2021,2481,50
1/7/2021,2435,47
1/8/2021,2007,40
1/9/2021,2899,46
1/10/2021,1877,32
1/11/2021,2408,41
1/12/2021,2123,55
1/13/2021,3097,46
1/14/2021,2417,45
1/15/2021,2432,45
1/16/2021,2521,43
1/17/2021,1920,46
1/18/2021,1800,58
1/19/2021,1772,48
1/20/2021,2363,54
1/21/2021,1745,47
1/22/2021,1927,43
1/23/2021,1594,48
1/24/2021,1629,23
1/25/2021,1873,58
1/26/2021,1563,74
1/27/2021,1910,64
1/28/2021,1644,46
1/29/2021,2183,63
1/30/2021,1599,34
1/31/2021,1615,26
2/1/2021,1220,63
2/2/2021,1384,56
