date,new_cases
2/25/2020,2
2/26/2020,0
2/27/2020,0
2/28/2020,2
2/29/2020,0
3/1/2020,0
3/2/2020,1
3/3/2020,0
3/4/2020,0
3/5/2020,1
3/6/2020,0
3/7/2020,0
3/8/2020,0
3/9/2020,10
3/10/2020,3
3/11/2020,1
3/12/2020,8
3/13/2020,3
3/14/2020,22
3/15/2020,83
3/16/2020,100
3/17/2020,63
3/18/2020,155
3/19/2020,47
3/20/2020,229
3/21/2020,46
3/22/2020,99
3/23/2020,97
3/24/2020,91
3/25/2020,138
3/26/2020,172
3/27/2020,122
3/28/2020,102
3/29/2020,120
3/30/2020,221
3/31/2020,180
4/1/2020,303
4/2/2020,265
4/3/2020,132
4/4/2020,339
4/5/2020,609
4/6/2020,269
4/7/2020,228
4/8/2020,226
4/9/2020,206
4/10/2020,316
4/11/2020,219
4/12/2020,266
4/13/2020,341
4/14/2020,546
4/15/2020,536
4/16/2020,106
4/17/2020,613
4/18/2020,710
4/19/2020,70
4/20/2020,1147
4/21/2020,511
4/22/2020,1079
4/23/2020,785
4/24/2020,783
4/25/2020,605
4/26/2020,587
4/27/2020,697
4/28/2020,913
4/29/2020,1292
4/30/2020,1297
5/1/2020,989
5/2/2020,981
5/3/2020,857
5/4/2020,1108
5/5/2020,2024
5/6/2020,571
5/7/2020,1791
5/8/2020,2301
5/9/2020,1598
5/10/2020,1747
5/11/2020,2255
5/12/2020,962
5/13/2020,490
5/14/2020,3011
5/15/2020,0
5/16/2020,1352
5/17/2020,1974
5/18/2020,1841
5/19/2020,1932
5/20/2020,2193
5/21/2020,2603
5/22/2020,1743
5/23/2020,2164
5/24/2020,1748
5/25/2020,1356
5/26/2020,1446
5/27/2020,2076
5/28/2020,2801
5/29/2020,2429
5/30/2020,3039
5/31/2020,2964
6/1/2020,3938
6/2/2020,4065
6/3/2020,4801
6/4/2020,3985
6/5/2020,4734
6/6/2020,4960
6/7/2020,4728
6/8/2020,4646
6/9/2020,5385
6/10/2020,5834
6/11/2020,6397
6/12/2020,0
6/13/2020,6472
6/14/2020,12073
6/15/2020,4443
6/16/2020,5839
6/17/2020,5358
6/18/2020,4944
6/19/2020,6604
6/20/2020,4951
6/21/2020,4471
6/22/2020,3946
6/23/2020,3892
6/24/2020,4044
6/25/2020,2775
6/26/2020,3138
6/27/2020,4072
6/28/2020,3557
6/29/2020,2825
6/30/2020,4133
7/1/2020,4339
7/2/2020,4087
7/3/2020,0
7/4/2020,3387
7/5/2020,6535
7/6/2020,2691
7/7/2020,2980
7/8/2020,3359
7/9/2020,2751
7/10/2020,2752
7/11/2020,2521
7/12/2020,2753
7/13/2020,1979
7/14/2020,2165
7/15/2020,2145
7/16/2020,0
7/17/2020,4003
7/18/2020,1579
7/19/2020,1587
7/20/2020,1013
7/21/2020,1332
7/22/2020,1763
7/23/2020,1209
7/24/2020,1487
7/25/2020,1226
7/26/2020,0
7/27/2020,1176
7/28/2020,936
7/29/2020,1063
7/30/2020,1114
7/31/2020,903
8/1/2020,0
8/2/2020,1394
8/3/2020,762
8/4/2020,0
8/5/2020,675
8/6/2020,727
8/7/2020,782
8/8/2020,842
8/9/2020,634
8/10/2020,539
8/11/2020,531
8/12/2020,730
8/13/2020,753
8/14/2020,626
8/15/2020,747
8/16/2020,1168
8/17/2020,0
8/18/2020,617
8/19/2020,613
8/20/2020,513
8/21/2020,630
8/22/2020,586
8/23/2020,1087
8/24/2020,0
8/25/2020,450
8/26/2020,482
8/27/2020,445
8/28/2020,415
8/29/2020,319
8/30/2020,264
8/31/2020,213
9/1/2020,300
9/2/2020,865
9/3/2020,498
9/4/2020,513
9/5/2020,0
9/6/2020,878
9/7/2020,330
9/8/2020,426
9/9/2020,371
9/10/2020,341
9/11/2020,584
9/12/2020,526
9/13/2020,539
9/14/2020,404
9/15/2020,665
9/16/2020,545
9/17/2020,752
9/18/2020,645
9/19/2020,640
9/20/2020,633
9/21/2020,582
9/22/2020,532
9/23/2020,799
9/24/2020,798
9/25/2020,566
9/26/2020,694
9/27/2020,566
9/28/2020,675
9/29/2020,747
9/30/2020,543
10/1/2020,625
10/2/2020,553
10/3/2020,632
10/4/2020,0
10/5/2020,1111
10/6/2020,624
10/7/2020,583
10/8/2020,661
10/9/2020,671
10/10/2020,666
10/11/2020,385
10/12/2020,531
10/13/2020,615
10/14/2020,755
10/15/2020,659
10/16/2020,575
10/17/2020,567
10/18/2020,433
10/19/2020,582
10/20/2020,710
10/21/2020,736
10/22/2020,736
10/23/2020,847
10/24/2020,832
10/25/2020,707
10/26/2020,773
10/27/2020,825
10/28/2020,908
10/29/2020,1078
10/30/2020,807
10/31/2020,977
11/1/2020,1123
11/2/2020,1167
11/3/2020,1313
11/4/2020,1302
11/5/2020,1376
11/6/2020,1502
11/7/2020,1436
11/8/2020,1650
11/9/2020,1637
11/10/2020,1708
11/11/2020,1808
11/12/2020,2304
11/13/2020,2165
11/14/2020,2443
11/15/2020,2128
11/16/2020,2050
11/17/2020,2298
11/18/2020,2547
11/19/2020,2738
11/20/2020,2843
11/21/2020,2665
11/22/2020,2756
11/23/2020,2954
11/24/2020,3009
11/25/2020,3306
11/26/2020,3113
11/27/2020,3045
11/28/2020,2829
11/29/2020,2839
11/30/2020,2458
12/1/2020,2829
12/2/2020,3499
12/3/2020,3262
12/4/2020,3119
12/5/2020,3308
12/6/2020,3795
12/7/2020,2885
12/8/2020,2963
12/9/2020,3138
12/10/2020,3047
12/11/2020,2729
12/12/2020,3369
12/13/2020,2362
12/14/2020,2459
12/15/2020,2731
12/16/2020,2545
12/17/2020,2972
12/18/2020,3179
12/19/2020,2615
12/20/2020,1680
12/21/2020,1704
12/22/2020,2142
12/23/2020,2256
12/24/2020,2152
12/25/2020,2260
12/26/2020,1853
12/27/2020,1974
12/28/2020,1776
12/29/2020,2155
12/30/2020,2475
12/31/2020,2463
1/1/2021,2184
1/2/2021,2272
1/3/2021,1895
1/4/2021,1947
1/5/2021,2118
1/6/2021,2481
1/7/2021,2435
1/8/2021,2007
1/9/2021,2899
1/10/2021,1877
1/11/2021,2408
1/12/2021,2123
1/13/2021,3097
1/14/2021,2417
1/15/2021,2432
1/16/2021,2521
1/17/2021,1920
1/18/2021,1800
1/19/2021,1772
1/20/2021,2363
1/21/2021,1745
1/22/2021,1927
1/23/2021,1594
1/24/2021,1629
1/25/2021,1873
1/26/2021,1563
1/27/2021,1910
1/28/2021,1644
1/29/2021,2183
1/30/2021,1599
1/31/2021,1615
2/1/2021,1220
2/2/2021,1384
2/3/2021,1508
2/4/2021,1302
2/5/2021,1286
2/6/2021,1346
2/7/2021,1037
2/8/2021,1008
2/9/2021,1072
2/10/2021,1502
2/11/2021,1270
2/12/2021,1262
2/13/2021,1404
2/14/2021,1048
2/15/2021,0
2/16/2021,1912
2/17/2021,1272
2/18/2021,1245
2/19/2021,1340
2/20/2021,1328
2/21/2021,1160
2/22/2021,1050
2/23/2021,1196
2/24/2021,1361
2/25/2021,1541
2/26/2021,1315
2/27/2021,1176
2/28/2021,1392
3/1/2021,1163
3/2/2021,1388
3/3/2021,1519
3/4/2021,1579
3/5/2021,1714
3/6/2021,1780
3/7/2021,1592
3/8/2021,1353
3/9/2021,1786
3/10/2021,2258
3/11/2021,2701
3/12/2021,2338
3/13/2021,2664
3/14/2021,2253
3/15/2021,2511
3/16/2021,2351
3/17/2021,3495
3/18/2021,3449
3/19/2021,3876
3/20/2021,3667
3/21/2021,3669
3/22/2021,3270
3/23/2021,3301
3/24/2021,3946
3/25/2021,4368
3/26/2021,4468
3/27/2021,4767
3/28/2021,4525
3/29/2021,4084
3/30/2021,4757
3/31/2021,4974
4/1/2021,5234
4/2/2021,4723
4/3/2021,5020
4/4/2021,4323
4/5/2021,3953
4/6/2021,4004
4/7/2021,5329
4/8/2021,5312
4/9/2021,5139
4/10/2021,5050
4/11/2021,4584
4/12/2021,4318
4/13/2021,4503
4/14/2021,5395
4/15/2021,5364
4/16/2021,4976
4/17/2021,6127
4/18/2021,5152
4/19/2021,5445
4/20/2021,5499
4/21/2021,5857
4/22/2021,5870
4/23/2021,5908
4/24/2021,5611
4/25/2021,4825
4/26/2021,4487
4/27/2021,5292
4/28/2021,5480
4/29/2021,5112
4/30/2021,4696
5/1/2021,4414
5/2/2021,4213
5/3/2021,3377
5/4/2021,0
5/5/2021,4113
5/6/2021,8495
5/7/2021,4109
5/8/2021,3786
5/9/2021,3447
5/10/2021,3084
5/11/2021,2881
5/12/2021,3265
5/13/2021,2517
5/14/2021,1531
5/15/2021,2379
5/16/2021,3232
5/17/2021,2566
5/18/2021,3256
5/19/2021,4207
5/20/2021,3070
5/21/2021,4007
5/22/2021,3084
5/23/2021,3047
5/24/2021,2253
5/25/2021,2724
5/26/2021,2726
5/27/2021,2482
5/28/2021,2455
5/29/2021,2697
5/30/2021,2117
5/31/2021,1771
6/1/2021,1843
6/2/2021,2028
6/3/2021,1893
6/4/2021,1923
6/5/2021,1629
6/6/2021,1490
6/7/2021,1383
6/8/2021,1118
6/9/2021,1303
6/10/2021,1303
6/11/2021,1194
6/12/2021,1239
6/13/2021,1019
6/14/2021,838
6/15/2021,1038
6/16/2021,1119
6/17/2021,1043
6/18/2021,991
6/19/2021,0
6/20/2021,1957
6/21/2021,663
6/22/2021,930
6/23/2021,1097
6/24/2021,1042
6/25/2021,935
6/26/2021,901
6/27/2021,914
6/28/2021,735
6/29/2021,979
6/30/2021,1037
7/1/2021,1277
7/2/2021,1400
7/3/2021,1228
7/4/2021,1347
7/5/2021,830
7/6/2021,1517
7/7/2021,1626
7/8/2021,1843
7/9/2021,1828
7/10/2021,1980
7/11/2021,1808
7/12/2021,1775
7/13/2021,1980
7/14/2021,2545
7/15/2021,2327
7/16/2021,2949
7/17/2021,2607
7/18/2021,2452
7/19/2021,2145
7/20/2021,2579
7/21/2021,2158
7/22/2021,1425
7/23/2021,0
7/24/2021,4660
7/25/2021,3752
7/26/2021,3262
7/27/2021,4119
7/28/2021,4497
7/29/2021,4537
7/30/2021,4950
7/31/2021,5026
8/1/2021,4858
8/2/2021,3582
8/3/2021,4722
8/4/2021,5661
8/5/2021,4745
8/6/2021,4720
8/7/2021,4455
8/8/2021,4040
8/9/2021,3884
8/10/2021,4856
8/11/2021,4934
8/12/2021,4619
8/13/2021,4786
8/14/2021,3711
8/15/2021,3669
8/16/2021,3221
8/17/2021,3974
8/18/2021,4373
8/19/2021,3239
8/20/2021,3084
8/21/2021,3842
8/22/2021,3772
8/23/2021,4075
8/24/2021,4199
8/25/2021,4553
8/26/2021,3930
8/27/2021,4231
8/28/2021,3909
8/29/2021,3800
8/30/2021,3838
8/31/2021,3569
9/1/2021,4069
9/2/2021,3821
9/3/2021,0
9/4/2021,7727
9/5/2021,3613
9/6/2021,3316
9/7/2021,3902
9/8/2021,4062
9/9/2021,3689
9/10/2021,3480
9/11/2021,3153
9/12/2021,2988
9/13/2021,2574
9/14/2021,2727
9/15/2021,3012
9/16/2021,2928
9/17/2021,2512
9/18/2021,2580
9/19/2021,2167
9/20/2021,1897
9/21/2021,2333
9/22/2021,2357
9/23/2021,2233
9/24/2021,2060
9/25/2021,1780
9/26/2021,1757
9/27/2021,1400
9/28/2021,1560
9/29/2021,1742
9/30/2021,1411
10/1/2021,1664
10/2/2021,1656
10/3/2021,1490
10/4/2021,1308
10/5/2021,1212
10/6/2021,1453
10/7/2021,912
10/8/2021,955
10/9/2021,827
10/10/2021,944
10/11/2021,689
10/12/2021,1021
10/13/2021,1016
10/14/2021,1086
10/15/2021,893
10/16/2021,720
10/17/2021,663
10/18/2021,603
10/19/2021,554
10/20/2021,622
10/21/2021,567
10/22/2021,552
10/23/2021,591
10/24/2021,698
10/25/2021,572
10/26/2021,516
10/27/2021,705
10/28/2021,660
10/29/2021,658
